enterprise,factor,influence,development
cooperative,quantity,influences,developing
non_profit,fraction,strong_influence,developments
high_tech,measure,superiority,technological
subsidiary,acceleration,dominance,innovation
corporation,component,hegemony,modernization
information_technology,difference,importance,emergence
telecommunications,variable,stance,expansion
lycos,ratio,impact,industrialization
software_development,solution,ideology,growth
retail,entropy,prominence,exploration
aerospace,calculation,focus,industrial
marketing,element,sympathies,reconstruction
industrial,reduction,revival,economic_development
facility,density,conservatism,restructuring
entertainment,probability,profound_influence,improvement
financing,value,intellectual,industrial_revolution
networking,parameter,leanings,integration
consortium,equation,profound,project
computer_hardware,complexity,foreign_policy,technology
enterprises,special_case,nevertheless,economic_reform
commercial,generalization,ideas,productivity
artificial_neural,efficiency,popularity,economic_integration
outsourcing,partial,populace,information_technology
organisation,product,domination,design
networked,approximation,attitude,projects
aviation,likelihood,economic_policies,standardization
web_hosting,miscalculation,isolation,advances
clandestine,transformation,objections,large_scale
conglomerate,frequency,significant_impact,research
real_estate,displacement,adherents,enterprise
consumer,determinant,emergence,infrastructure
projects,magnitude,conquests,liberalization
policing,formulation,considerable_influence,cost_overruns
setting_up,probability_distribution,fortunes,creation
aeronautical,function,acceptance,software_development
contractor,normal_distribution,nationalism,darpa
banking,consequence,leadership,manufacturing
distributed_computing,vector,significance,mechanization
automotive,particle,implications,industrialisation
mercantile,molecule,ambitions,investment
developer,integer,resentment,exploitation
management,measurement,tradition,nanotechnology
financial_services,voltage,spread,technologies
infrastructure,coefficient,rise,construction
bulletin_board,kinetic_energy,criticism,experimentation
overhaul,variance,colonialism,implementation
commerce,capacitance,frontiers,environment
shipbuilding,logarithm,personality,economic_growth
streetcar,velocity,views,diversification
programme,mutation,nazism,expanding
educational,complement,modernism,rapid_growth
coordinating,gini_coefficient,political_views,invention
integrated,variation,reputation,trends
audit,amplitude,personality_cult,specialization
hub,dimension,troubles,proliferation
housing,mass,imperialism,macroeconomic
managing,offset,thinkers,global
corp,variability,hostility,improvements
manufacturer,factors,interest,framework
recruitment,matrix,credibility,production
audiovisual,maximal,contemporaries,advent
provider,measurable,modernity,programme
automated,dynamical_system,marxism,advancement
nonprofit,equivalence,capitalism,privatization
agency,mechanism,lineage,rebuilding
airline,capacitor,communism,engineering
planning,representation,cultural,emerging
advertising,symmetry,struggles,rehabilitation
crm,problem,predecessors,modelling
consulting,scalar,scrutiny,architectural
manufacturing,derivative,subjects,economic
cert,coefficients,critique,decline
logistics,subset,scholarship,shaping
resource,inverse,impetus,innovations
nanotechnology,momentum,sensibilities,consolidation
oversees,limit,tremendous_influence,sustainable
call_centre,yields,neo,architecture
ict,concentration,fears,evolving
organizing,reference_frame,waned,agricultural
aeronautics,chemical_reaction,concern,designing
telecommunication,quantities,outlook,sector
automobile,modulus,opinion,agricultural_production
darpa,brownian_motion,decline,bahamian_economy
corporate,sum,successors,develop
gaming,scale,relevance,scientific_research
public_transportation,angular_momentum,influential,marketing
workshop,formula,conception,stability
collaborative,ratios,influenced,adoption
fidonet,positive,ideological,revival
help_desk,allele,enlightenment,gradual
developing,inequality,exerted,financing
modding,definition,tendencies,workings
multinational,trivial,rejection,computing
fund,atom,attitudes,progress
technological,differential_equation,stature,hypertext
supplier,reaction,fascism,incorporation
programmes,consistency,debate,planning
humane_education,inversion,wealth,monetary_policy
think_tank,scenario,culture,priorities
assistive_technology,scaling,prosperity,improving
